epoch, loss, acc, val_loss, val_acc
1, 0.4805518090724945, 0.8292666673660278, 0.36575236916542053, 0.8682000041007996
2, 0.33773595094680786, 0.8790333271026611, 0.3140794634819031, 0.8855000138282776
3, 0.3017927408218384, 0.890749990940094, 0.2852339744567871, 0.8928999900817871
4, 0.27386948466300964, 0.8988000154495239, 0.2715764045715332, 0.8981999754905701
5, 0.254729300737381, 0.905916690826416, 0.26106157898902893, 0.9018999934196472
6, 0.23788127303123474, 0.9118166565895081, 0.25285211205482483, 0.9047999978065491
7, 0.22229041159152985, 0.9188500046730042, 0.25754573941230774, 0.9043999910354614
8, 0.21129651367664337, 0.92208331823349, 0.24625246226787567, 0.9093000292778015
9, 0.2029104381799698, 0.9239166378974915, 0.23688791692256927, 0.9139000177383423
10, 0.18805214762687683, 0.9294499754905701, 0.23684169352054596, 0.9139000177383423
